HHID,year,y3_panelweight,psu,lat,lon,region,district,ward,ea,urban,femhead,agehead,hhszae,educave15_60,area_gps,distprschool,credit,TLU_cattle,TLU_oxen,TLU_pigs,TLU_sheep,TLU_goats,TLU_chicken,TLU_donkeyhorses,TLU_otheranim,cellphone,safewater,landown,swc_any,fert_org_use,tot_exp,food_exp,mean_rain_lt,sd_rain_lt
4514,2008,4627.554688,305004000,-3.205408812,37.18750763,Kilimanjaro,5,4,305004002,0,0,44,7.4000001,8.5,2,0,0,2,0.5,0,0,0,0.099999994,0,0,1,1,0.809371173,0,0,4450.1709,3022.2307,1007.0703,193.36833
4321,2008,5380.120605,501008000,-6.543301582,37.18169785,Morogoro,1,8,501008005,0,0,32,2.6199999,3.5,2.99392879,0,0,0,0,0,0,0,0,0,0,0,0,0.530399919,0,0,1362.4189,1156.4049,535.56995,85.597641
2586,2008,1025.644653,1005011008,-10.54807568,36.32186127,Ruvuma,5,11,1005011005,0,0,55,11.2,6.2222223,3,0,0,0,0,0,0,0,0.059999999,0,0,1,1,4.451541424,0,0,2700.8313,2260.8621,625.99744,114.05471
595,2008,443.4625549,5101012992,-5.83981514,39.28684235,KASKAZINI UNGUJA,1,13,5101013041,0,1,75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.202342793,0,0,258.29245,220.4034,993.10858,237.08133
1029,2008,1003.685364,1902027008,-2.578885078,33.45016479,Mwanza,2,27,1902027012,1,0,32,2.3600001,13.5,12.49999994,0.25,0,0,0,0,0,0,0.14999999,0,0,1,1,0,0,0,1418.7764,765.08496,509.65985,108.15403
2155,2008,4799.112793,1303003008,-5.499927044,34.97288513,Singida,3,3,1303003002,0,0,28,3.3400002,7,9.483904362,0,0,0,0,0,0,0,0,0,0,0,1,3.837999582,1,1,1046.2935,881.01544,357.9429,72.447075
72,2008,291.076355,5501015040,-5.232223988,39.78032303,KUSINI PEMBA,1,15,5501015005,1,0,42,3.3600001,6.6666665,2,3,0,0,0,0,0,0,0,0,0,1,1,0.202342793,0,0,2206.7029,1431.385,963.64862,206.81903
2025,2008,6331.458984,1402024064,-4.55691576,33.4384079,Tabora,2,24,1402024001,0,0,38,4.02,9,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1948.1246,1334.0763,379.40762,77.823921
2785,2008,887.1329956,905012352,-10.2713213,40.17413712,Mtwara,5,12,905012325,1,0,33,4.3600001,7.5,1,3,0,0,0,0,0,0,0,0,0,1,1,0.101171397,0,0,883.06335,721.17578,593.58154,112.28529
2182,2008,4560.27002,1301024000,-4.40128088,34.27271271,Singida,1,24,1301024001,0,0,33,5.7399998,4.6666665,3,0,1,0,0,0,0,0,0.12,0,0,0,0,0.505856991,1,1,959.8725,747.2995,380.83945,79.520164
2118,2008,2300.880371,1304012032,-4.923984051,34.70409012,Singida,4,12,1304012003,0,0,50,6.6199999,7,3,0,0,5,1,0,0.40000001,0.69999999,0.16,0,0.60000002,1,0,3.439827681,1,1,2056.2266,1409.8843,318.47177,60.421711
3788,2008,279.1435242,701017984,-6.666450977,39.07603073,Dar es salaam,1,18,701018003,0,0,35,3.9000001,5.5,1,0,0,0,0,0,0,0,0.049999997,0,0,1,1,0,0,0,2438.0378,1955.4281,573.28815,131.05692
3340,2008,292.3786316,703022976,-7.157936573,39.52511978,Dar es salaam,3,23,703023003,0,0,25,2,7,1,0,0,0,0,0,0,0,0.049999997,0,0,1,0,1.214056849,0,0,1993.3893,1280.2865,665.8465,150.50175
3480,2008,2453.244385,703013056,-6.859389305,39.25400543,Dar es salaam,3,13,703013053,1,0,31,2.6199999,9,12.49999994,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2572.0488,1367.8479,673.72528,150.36969
2537,2008,3112.462158,1102012032,-8.402626038,34.74558258,Iringa,2,12,1102012001,0,1,40,3,0,1,0,0,0,0,0,0,0,0.079999998,0,0.2,0,0,1.011713982,0,0,450.34622,413.00174,389.59732,59.462799
2606,2008,2623.832764,1005006016,-10.48160553,35.68802261,Ruvuma,5,6,1005006001,0,0,79,2.78,0,2,0,0,0,0,0,0,0,0.089999996,0,0.2,0,1,3.642170429,0,0,1315.0258,1070.6053,620.8576,105.06502
811,2008,6130.731445,2003003008,-1.56408608,34.0737648,Mara,3,3,2003003002,0,1,50,3,3.5,2.348242402,0,0,0,0,0,0,0,0.01,0,0.2,0,0,0.950299859,0,0,908.48834,792.9151,634.68561,106.60135
4378,2008,4169.856934,405010016,-5.539572239,38.86110306,Tanga,5,10,405010004,0,0,30,3.48,3.5,2,0,0,0,0,0,0,0.60000002,0.11,0,0,0,0,3.642170429,0,0,1436.3912,1318.3844,735.83484,122.41151
1138,2008,2269.809814,1806008064,-1.335649848,31.8229351,Kagera,6,8,1806008011,1,1,39,4.7399998,10,12.49999994,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2847.218,1844.9596,1011.6455,124.79242
721,2008,4075.490234,2102008960,-4.507375717,35.23749161,Manyara,2,9,2102009001,0,0,40,3.3800001,6.5,2,0,0,0,0,0,0.1,0,0.07,0,0,0,0,2.630456448,0,0,1419.5232,1172.5364,335.34787,72.226433
4344,2008,4384.941895,406019008,-5.422981262,37.98639679,Tanga,6,19,406019002,0,0,31,2.98,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.809371173,0,0,2857.6504,2550.0264,501.78793,92.889702
4556,2008,2001.844482,304002016,-3.263106346,37.57698822,Kilimanjaro,4,2,304002001,0,1,40,2.54,7,1,0,0,0.5,0,0.40000001,0,0.1,0.16,0,0,0,1,0.101171397,0,1,778.55011,598.71844,714.89667,197.93478
1906,2008,2902.151367,1406017024,-5.119644165,32.89586258,Tabora,6,17,1406017002,0,0,63,7.8800001,2,2,0,0,0,0,0,0,0.1,0.079999998,0,0.2,0,0,6.070284367,1,0,1924.6021,1538.5499,514.05212,106.70821
3349,2008,849.6220093,703022016,-6.863223553,39.25944901,Dar es salaam,3,22,703022036,1,0,67,3,0,12.49999994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1302.6464,1055.344,670.8363,150.54068
3350,2008,1771.987793,703022016,-6.863223553,39.25944901,Dar es salaam,3,22,703022036,1,1,47,3.3600001,5.5,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1650.5577,1220.5183,670.8363,150.54068
2503,2008,2601.375488,1103011328,-8.976870537,33.95319366,Iringa,3,11,1103011306,1,1,72,2,7,3,0,0,0,0,0,0,0,0.01,0,0,0,1,1.011713982,1,0,485.47226,363.07739,760.53735,122.4985
16,2008,352.4670105,5502013440,-5.368369102,39.70212936,KUSINI PEMBA,2,13,5502013303,1,1,41,3.3800001,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,587.15021,529.68402,1217.0264,295.17477
808,2008,6146.323242,2003003008,-1.56408608,34.0737648,Mara,3,3,2003003002,0,0,52,5.0999999,8.333333,2,0,1,0,0,0,1.2,0,0.02,0,0,0,0,2.22577095,1,0,2695.4265,916.34198,634.68561,106.60135
2508,2008,2601.611328,1103011328,-8.976870537,33.95319366,Iringa,3,11,1103011306,1,1,48,2,9,4,0,0,0,0,0,0.1,0.1,0,0,0,0,1,1.112885356,1,0,1540.9432,1270.771,760.53735,122.4985
3101,2008,1682.801147,806012032,-10.04944324,39.70264053,Lindi,6,12,806012002,0,0,48,4.9000001,5.3333335,3,0.5,0,0,0,0,0,1,0.029999999,0,0.2,0,0,3.035141945,0,0,1036.3008,985.68213,498.3042,97.064468
2667,2008,1756.391602,1003014016,-11.17031956,34.99647141,Ruvuma,3,14,1003014002,0,0,35,4,7,3,0,0,0,0,0,0,0,0.059999999,0,0,0,0,2.023427963,1,0,2103.061,1603.6893,676.04303,110.66843
